PartitionKey,RowKey,Timestamp,list
300th,adjective,2016-01-29T23:07:13.213Z,"[""adjective:12231""]"
30th,adjective,2016-01-29T23:06:53.609Z,"[""adjective:12180""]"
31,adjective,2016-01-29T23:05:53.963Z,"[""adjective:12046""]"
31st,adjective,2016-01-29T23:06:54.010Z,"[""adjective:12181""]"
32,adjective,2016-01-29T23:05:54.547Z,"[""adjective:12047""]"
32nd,adjective,2016-01-29T23:06:54.207Z,"[""adjective:12182""]"
33,adjective,2016-01-29T23:05:55.380Z,"[""adjective:12048""]"
33rd,adjective,2016-01-29T23:06:54.609Z,"[""adjective:12183""]"
34,adjective,2016-01-29T23:05:55.912Z,"[""adjective:12049""]"
34th,adjective,2016-01-29T23:06:55.017Z,"[""adjective:12184""]"
35,adjective,2016-01-29T23:05:56.329Z,"[""adjective:12050""]"
35th,adjective,2016-01-29T23:06:55.348Z,"[""adjective:12185""]"
36,adjective,2016-01-29T23:05:58.453Z,"[""adjective:12051""]"
365 days,noun,2016-01-29T21:57:37.929Z,"[""noun:01,5,03,3,045,03,""]"
366 days,noun,2016-01-29T21:57:38.492Z,"[""noun:01,5,03,3,045,04,""]"
36th,adjective,2016-01-29T23:06:55.743Z,"[""adjective:12186""]"
37,adjective,2016-01-29T23:05:59.052Z,"[""adjective:12052""]"
37th,adjective,2016-01-29T23:06:56.146Z,"[""adjective:12187""]"
38,adjective,2016-01-29T23:05:59.615Z,"[""adjective:12053""]"
38th,adjective,2016-01-29T23:06:56.750Z,"[""adjective:12188""]"
39,adjective,2016-01-29T23:06:00.206Z,"[""adjective:12054""]"
39th,adjective,2016-01-29T23:06:57.111Z,"[""adjective:12189""]"
3d,noun,2016-01-29T18:21:52.721Z,"[""noun:01,0,0,15,10,12,1,"",""noun:01,0,2,05,0,01,16,""]"
3d radar,noun,2016-01-29T17:48:16.546Z,"[""noun:00,1,00,3,21,04,062,08,56,2,""]"
3rd,adjective,2016-01-29T23:06:46.149Z,"[""adjective:12152""]"
3rd october organization,noun,2016-01-29T19:03:34.961Z,"[""noun:99,631""]"
3tc,noun,2016-01-29T16:21:46.538Z,"[""noun:00,3,01,13,03,18,25,4,1,1,""]"
4,noun,2016-01-29T21:26:19.792Z,"[""noun:01,5,04,3,25,4,10,"",""adjective:12019""]"
4-dimensional,adjective,2016-01-29T22:38:48.217Z,"[""adjective:3683""]"
4-hitter,noun,2016-01-29T15:07:26.654Z,"[""noun:01,0,2,00,23,10,03,3,7,3,0,08,""]"
4-membered,adjective,2016-01-29T22:54:41.350Z,"[""adjective:8246""]"
40,noun,2016-01-29T21:26:37.720Z,"[""noun:01,5,04,3,25,5,22,"",""adjective:12055""]"
400,adjective,2016-01-29T23:06:45.150Z,"[""adjective:12136""]"
400th,adjective,2016-01-29T23:07:13.535Z,"[""adjective:12232""]"
401-k,noun,2016-01-29T18:21:25.624Z,"[""noun:01,0,0,15,07,05,08,0,""]"
401-k plan,noun,2016-01-29T18:21:25.424Z,"[""noun:01,0,0,15,07,05,08,0,""]"
40th,adjective,2016-01-29T23:06:57.334Z,"[""adjective:12190""]"
41,adjective,2016-01-29T23:06:01.019Z,"[""adjective:12056""]"
41st,adjective,2016-01-29T23:06:57.713Z,"[""adjective:12191""]"
42,adjective,2016-01-29T23:06:01.549Z,"[""adjective:12057""]"
42nd,adjective,2016-01-29T23:06:58.117Z,"[""adjective:12192""]"
43,adjective,2016-01-29T23:06:02.049Z,"[""adjective:12058""]"
43rd,adjective,2016-01-29T23:06:58.513Z,"[""adjective:12193""]"
44,adjective,2016-01-29T23:06:02.648Z,"[""adjective:12059""]"
440 yards,noun,2016-01-29T21:24:01.020Z,"[""noun:01,5,04,8,13,14,""]"
44th,adjective,2016-01-29T23:06:58.813Z,"[""adjective:12194""]"
45,adjective,2016-01-29T23:06:02.975Z,"[""adjective:12060""]"
45th,adjective,2016-01-29T23:06:59.225Z,"[""adjective:12195""]"
46,adjective,2016-01-29T23:06:04.420Z,"[""adjective:12061""]"
46th,adjective,2016-01-29T23:06:59.627Z,"[""adjective:12196""]"
47,adjective,2016-01-29T23:06:04.995Z,"[""adjective:12062""]"
47th,adjective,2016-01-29T23:07:00.027Z,"[""adjective:12197""]"
48,adjective,2016-01-29T23:06:05.594Z,"[""adjective:12063""]"
48th,adjective,2016-01-29T23:07:00.431Z,"[""adjective:12198""]"
49,adjective,2016-01-29T23:06:08.125Z,"[""adjective:12064""]"
49th,adjective,2016-01-29T23:07:00.827Z,"[""adjective:12199""]"
4th,adjective,2016-01-29T23:06:46.348Z,"[""adjective:12153""]"
4to,noun,2016-01-29T18:03:39.467Z,"[""noun:01,1,16,33,06,""]"
4wd,noun,2016-01-29T16:16:34.924Z,"[""noun:00,1,00,3,21,04,075,15,8,1,"",""noun:00,1,00,3,21,03,13,7,09,04,04,""]"
5,noun,2016-01-29T21:26:21.315Z,"[""noun:01,5,04,3,25,4,11,"",""adjective:12020""]"
5-hitter,noun,2016-01-29T15:07:26.996Z,"[""noun:01,0,2,00,23,10,03,3,7,3,0,09,""]"
5-hydroxy-3-methylglutaryl-coenzyme a reductase,noun,2016-01-29T21:43:23.876Z,"[""noun:01,3,14,00,08,1,1,32,0,""]"
5-hydroxytryptamine,noun,2016-01-29T21:48:23.392Z,"[""noun:01,3,14,00,03,22,07,15,01,3,1,3,0,1,""]"
5-membered,adjective,2016-01-29T22:54:41.750Z,"[""adjective:8247""]"
50,noun,2016-01-29T21:26:38.120Z,"[""noun:01,5,04,3,25,5,23,"",""adjective:12065""]"
500,noun,2016-01-29T21:26:41.756Z,"[""noun:01,5,04,3,25,5,32,"",""adjective:12137""]"
500th,adjective,2016-01-29T23:07:13.955Z,"[""adjective:12233""]"
50th,adjective,2016-01-29T23:07:01.033Z,"[""adjective:12200""]"
51,adjective,2016-01-29T23:06:08.741Z,"[""adjective:12066""]"
52,adjective,2016-01-29T23:06:09.145Z,"[""adjective:12067""]"
53,adjective,2016-01-29T23:06:09.673Z,"[""adjective:12068""]"
54,adjective,2016-01-29T23:06:10.247Z,"[""adjective:12069""]"
55,adjective,2016-01-29T23:06:10.752Z,"[""adjective:12070""]"
55th,adjective,2016-01-29T23:07:01.425Z,"[""adjective:12201""]"
56,adjective,2016-01-29T23:06:11.348Z,"[""adjective:12071""]"
57,adjective,2016-01-29T23:06:12.047Z,"[""adjective:12072""]"
58,adjective,2016-01-29T23:06:12.646Z,"[""adjective:12073""]"
59,adjective,2016-01-29T23:06:13.248Z,"[""adjective:12074""]"
5th,adjective,2016-01-29T23:06:46.475Z,"[""adjective:12154""]"
